respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.14946293999132104,0.16820126062722396
26708,0.13527429121864648,0.08401219270101988
26709,0.18394648025082808,0.5974510646389516
26710,0.5968041191769233,0.9542238789834054
26711,0.4771728687384905,0.5816238440440731
26712,0.6440863448135034,0.8684374247405674
26713,0.5530771697438364,0.4961988582516618
26714,0.23164286653316044,0.11824315945290777
26715,0.06465401171726458,0.11824315945290777
26716,0.17385278363555629,0.6481445069990607
26717,0.05125103355765151,0.35810129994068396
26718,0.24476663735319615,0.3883114578144205
26719,0.1552437183633176,0.950537097247207
26720,0.11512625574681573,0.283091098164908
26721,0.630742216700773,0.6700455928192848
26722,0.06240940092738597,0.09381297202327231
26723,0.6298234197816905,0.9619603333554608
26724,0.13122170191181068,0.826535576714062
26725,0.1252262396953104,0.06073398787145237
26726,0.015364240448860969,0.07600902041159412
26727,0.28550678192040746,0.6796700801913005
26728,0.26911207112362784,0.45054178796817723
26729,0.12646242996377824,0.22387617418578454
26730,0.12200142505373522,0.20984831426799674
26731,0.10853561194577571,0.29681706759534265
26732,0.15520422642003606,0.07340640769476701
26733,0.9432444744559663,0.9058431713134022
26734,0.8318242971989775,0.7420120189642699
26735,0.08721950582181733,0.288286355762877
26736,0.14373618672376784,0.13529883511085283
26737,0.1224865076485467,0.19837853517585657
26738,0.6294924526493659,0.7564487133080577
26739,0.16229506568326285,0.22836338124898775
26740,0.19986569383221706,0.07600902041159412
26741,0.2082540619221609,0.9063554350673719
26742,0.13780940320447171,0.22242771310555481
26743,0.04434590226297668,0.3884346024122189
26744,0.09429570416403779,0.6520049030715254
26745,0.1427865859568023,0.7926541457013477
26746,0.17607747850519676,0.3337018583355254
26747,0.14078511345244193,0.19780271350157433
26748,0.2567361263108693,0.07600902041159412
26749,0.13780940320447171,0.5842663517622625
26750,0.6129057662952377,0.9088464402377324
26751,0.5247262191541151,0.7697761282061089
26752,0.13272539529571092,0.06278146394311755
26753,0.22714290949855137,0.6408356535275227
26754,0.1829553256498228,0.28114863436070864
26755,0.1782785910356802,0.46898367456086043
26756,0.0645916191985505,0.08605966877268506
26757,0.7034757341041817,0.6329933821612168
26758,0.48267679327432866,0.7196640520947487
26759,0.0511487568739044,0.1937577129804825
26760,0.033323752492609215,0.07624835981455085
26761,0.4352207902224943,0.7956441800669306
26762,0.26022007886154463,0.8034003618199054
26763,0.8807687151627401,0.8478040471067444
26764,0.8645693987109769,0.8770476563093513
26765,0.18614955246147197,0.5403435916262224
26766,0.14174605180114172,0.12675968012008493
26767,0.8246264006776624,0.7744947227868746
26768,0.052898288734831315,0.5096827647252314
26769,0.22759613535108444,0.32245524335329084
26770,0.2425853148720694,0.6751383945735459
26771,0.158889254785266,0.2594102907782798
26772,0.11767540901294139,0.5298540213294427
26773,0.04655364404049431,0.35039428342134893
26774,0.11922921883757796,0.39059704024193576
26775,0.06611917099929915,0.387221923329957
26776,0.24308317946290212,0.5160927939052439
26777,0.15384609953432285,0.7594188787088489
26778,0.08137133674594975,0.17069826084592696
26779,0.13618777148850555,0.6181637528671108
26780,0.1275976655767345,0.812977373206198
26781,0.10935886542347628,0.4915010501755747
26782,0.11014053633428761,0.22796648271296258
26783,0.08980881681028238,0.22242771310555481
26784,0.3552575156063528,0.7752560951966099
26785,0.4551360178171772,0.6167056486565913
26786,0.053551327055538486,0.12675968012008493
26787,0.15510103296080305,0.6422774077005466
26788,0.10690566762829506,0.9541746949718026
26789,0.028728084205948596,0.22258329467090698
26790,0.08980881681028238,0.13818465468334912
26791,0.10031106442733213,0.16865222933095658
26792,0.09097930189355544,0.725011803735911
26793,0.19655073213602298,0.971820073853915
26794,0.37230584512811815,0.7729367302360436
26795,0.12293367819528152,0.9058431713134022
26796,0.13272539529571092,0.06278146394311755
26797,0.2644943094463555,0.7226355045812156
26798,0.6949444094154289,0.12166001971719981
26799,0.38621091212380343,0.13153437739211202
26800,0.08539520675741016,0.9359506098867594
26801,0.1423653701531928,0.23494863834303847
26802,0.13561110466290574,0.11511488507485915
26803,0.12056595621551172,0.12006648623838329
26804,0.12591406395853663,0.07155458409716059
26805,0.09972690939148304,0.10534657615405643
26806,0.13676992040648736,0.9744552010408997
26807,0.5873015828727488,0.6264591579882409
26808,0.1312079549091778,0.3549824852229508
26809,0.5224628790818606,0.13611990074836935
26810,0.15539660233068808,0.1286056412291512
26811,0.11051990565663317,0.09297287967431662
26812,0.1363167953222474,0.6808735007372287
26813,0.39669768658842236,0.5901292671135321
26814,0.07980883188273347,0.7171652885494576
26815,0.12279928269218983,0.06073398787145237
26816,0.13550902598937534,0.15494050372503387
26817,0.07305924086348083,0.625515168560712
26818,0.10226802437549211,0.1799582070235707
26819,0.25016614452135666,0.19335290287889573
26820,0.1281313716845843,0.1276532309756951
26821,0.11033194126406068,0.6566400564243432
26822,0.07424533227772666,0.5958629940101834
26823,0.19571877939434906,0.27507655276484677
26824,0.18025894707873494,0.6587918161409723
26825,0.41128945761683355,0.6552795890939638
26826,0.06465151047887274,0.593904456289029
26827,0.08268211601442163,0.15262839154403382
26828,0.2191061678073907,0.3589144489091696
26829,0.6342917169196314,0.9003782636083569
